営業No,連絡手段,メールアドレス,フォームURL,エリア,店舗名,業種,公式サイトURL,電話,フォーム備考,元リスト,元No,備考
1,メール+フォーム,pet@nunoclub.com,https://www.nunoclub.com/contact.html,東京,ヌーノクラブ,ホテル/サロン,https://www.nunoclub.com/,,確定(サイト内ページ),初回,17,中野区｜検証: contact.htmlに入力フォーム有、メールも記載
2,メール+フォーム,info@pet-joli.com,https://pet-joli.com/contact/,東京,Joli 神楽坂店,ホテル/トリミング,https://xn--joli-9o4csan6ll5nt234bdzzb3e4b.jp/,03-5579-2144,確定(別ドメイン明記),初回,23,新宿区山吹町｜検証: pet-joli.com/contact/にフォーム有、メールはプライバシー欄に記載
3,メール+フォーム,info@petsalon-chienne.com,https://www.petsalon-chienne.com/contact/,愛知,ペットサロン シエンヌ,トリミング/ホテル,https://www.petsalon-chienne.com/,,確定(サイト内パス),初回,45,名古屋市名東区｜検証: /contact/にフォーム有(氏名/メール/内容+CAPTCHA)、メールもテキスト公開、電話052-771-5866
4,メール+フォーム,trimmingsalon.MIMI@gmail.com / info@mimi-petsalon.sakura.ne.jp,https://mimi-petsalon.sakura.ne.jp/contact.html,愛知,mimiペットサロン,サロン,https://mimi-petsalon.sakura.ne.jp/,,確定(サイト内ページ),初回,51,名古屋市天白区｜検証: contact.htmlにメール公開、お問い合わせ・ご予約フォームへのリンク有
5,メール+フォーム,kunkun@pet-hoteltoinkyoto.com,https://pet-hoteltoinkyoto.com/pet-salon,京都,ペットサロンくんくん,サロン/ホテル,https://pet-hoteltoinkyoto.com/pet-salon,,トップページ上のフォーム/リンクから,初回,63,京都市/京都駅近く｜検証: トップに入力フォーム有(氏名/メール/予約・問合せ内容)、外部予約システムも
6,メール+フォーム,hanako@hanakonet.com,https://kobe.felice-pet.jp/contact.html,兵庫,神戸ペットホテル フェリーチェ,ホテル,https://kobe.felice-pet.jp/index2.html,,確定(サイト内ページ),初回,66,神戸市｜検証: contact.htmlにメール掲載、フォーム有(定期確認の旨記載)、電話・LINEも
7,メール+フォーム,info@petsalon-mint.com,https://petsalon-mint.com/contact/,兵庫,pet salon MINT,トリミング/ホテル,https://petsalon-mint.com/,,確定(サイト内パス),初回,70,神戸市垂水区｜検証: /contact/にフォーム有(氏名/メール/電話/住所/ペット種別/メニュー/内容)、トップにもメール掲載
8,メール+フォーム,kitanodogschool@gmail.com,https://kitanodog.com/contact,北海道,犬の幼稚園HappyDog,ドッグ幼稚園/しつけ,https://kitanodog.com/,,確定(サイト内パス),追加1,93,札幌市清田区・中央区｜/contactに入力フォーム、店舗共通メール公開
9,メール+フォーム,info@wanpro-dog.com,https://wanpro-dog.jp/contact/,青森,わんぷろ,ドッグ幼稚園/しつけ,https://wanpro-dog.jp/,,確定(サイト内パス),追加1,96,青森市本町｜フッターにmailto公開、/contact/に入力フォーム
10,メール+フォーム,onezugate0808@500-8107.com,https://onezugate.com/contact/,福島,one zu gate(ワンズゲート),トリミング/一時預かり/ドッグラン,https://onezugate.com/,,確定(サイト内パス),追加1,109,三春町(田村郡)｜mailto公開、/contact/に入力フォーム
