No,エリア,店舗名,業種,公式サイトURL,電話(検索で判明分),メール,問い合わせフォーム,備考
1,北海道,ベリードッグ,トリミング/ペットホテル,https://www.berydog.com/,,要検証,要検証,函館市戸倉町148-3(函館空港から約5分)
2,北海道,Dog Salon inugoya,トリミング(古民家ドッグサロン),https://www.dogsalon-inugoya.com/,,要検証,要検証,函館市青柳町(函館公園近く)
3,北海道,Going Merry,トリミング/ペットホテル/ドッグカフェ,https://going-merry.jp/,,要検証,要検証,旭川市西神楽1線5号67-46
4,北海道,KODY(コディ),トリミングサロン,https://pet-kody.com/,,要検証,要検証,旭川市神居2条17丁目1-11ほか
5,北海道,Dog Tiara(ドッグティアラ),トリミング/ペットサロン,https://dog-tiara.net/,,要検証,要検証,旭川市10条通14丁目24-102
6,北海道,ペットサロンWave,トリミング/ペットホテル,https://obihiro-petsalon-wave.jimdofree.com/,,要検証,要検証,帯広市西13条南16丁目1-4
7,北海道,ペットサロン LOU LOU(ルル),トリミング/ペットサロン,https://loulou1.jp/,,要検証,要検証,苫小牧市
8,北海道,Dog Salon Bond,トリミング/シャンプー/ホテル,https://dog-salon-bond.com/,,要検証,要検証,苫小牧市拓勇西町6丁目27-25
9,青森,ペットサロン わんくぅ,トリミング/グルーミング,https://wankuu.net/,,要検証,要検証,八戸市下長2丁目3-31
10,岩手,シルバードッグ,トリミング/ペットホテル,https://www.silverdog.jp/,,要検証,要検証,盛岡市本町通1-4-23
11,岩手,PAPA de GIGI(盛岡菜園店),トリミングペットサロン,https://www.papadegigi.com/,,要検証,要検証,盛岡市菜園1丁目1-4
12,岩手,Dog Salon moimoi,ドッグサロン(トリミング専門),https://www.moimoidog.com/,,要検証,要検証,盛岡市三ツ割1丁目9-8
13,秋田,DogSalon CIEL(シエル),ドッグサロン(大型犬対応),https://cielsalon-dog.net/,,要検証,要検証,秋田市新屋扇町9-27
14,秋田,Woo Drops(ウードロップス),トリミング/一時預かり,https://woo-drops.com/,,要検証,要検証,秋田市広面字長沼312
15,山形,ペット美容室ローディー,トリミング/ペット美容室,https://www.roadie-yamagata.com/,,要検証,要検証,山形市南館5丁目2-20
