No,エリア,店舗名,業種,公式サイトURL,電話(検索で判明分),メール,問い合わせフォーム,備考
1,北海道,ベリードッグ,トリミング/ペットホテル,https://www.berydog.com/,,なし,なし,"函館市戸倉町148-3｜電話(0138-36-3386)のみ、フォーム・メールなし"
2,北海道,Dog Salon inugoya,トリミング(古民家ドッグサロン),https://www.dogsalon-inugoya.com/,,なし,あり,"函館市青柳町｜/contactにフォーム、Web予約は外部(petlife.asia)"
3,北海道,Going Merry,トリミング/ペットホテル/ドッグカフェ,https://going-merry.jp/,,なし,なし,"旭川市西神楽1線5号67-46｜電話(080-3265-4922他)/LINE/SNS誘導のみ"
4,北海道,KODY(コディ),トリミングサロン,https://pet-kody.com/,,なし,なし,"旭川市神居2条17丁目1-11ほか｜電話(080-4507-8996)のみ"
5,北海道,Dog Tiara(ドッグティアラ),トリミング/ペットサロン,https://dog-tiara.net/,,なし,なし,"旭川市10条通14丁目24-102｜電話予約のみ(090-1303-3717)"
6,北海道,ペットサロンWave,トリミング/ペットホテル,https://obihiro-petsalon-wave.jimdofree.com/,,なし,なし,"帯広市西13条南16丁目1-4｜Instagram DM/電話(0155-27-0208)のみ"
7,北海道,ペットサロン LOU LOU(ルル),トリミング/ペットサロン,https://loulou1.jp/,,確認不可,確認不可,"苫小牧市｜JS描画で本文取得不可、/contact等404、複数回試行も確認できず"
8,北海道,Dog Salon Bond,トリミング/シャンプー/ホテル,https://dog-salon-bond.com/,,なし,あり,"苫小牧市拓勇西町6丁目27-25｜/contactフォーム、別途/reserve、電話0144-84-6404"
9,青森,ペットサロン わんくぅ,トリミング/グルーミング,https://wankuu.net/,,なし,あり,"八戸市下長2丁目3-31｜contact.htmlにフォーム"
10,岩手,シルバードッグ,トリミング/ペットホテル,https://www.silverdog.jp/,,なし,あり,"盛岡市本町通1-4-23｜/contactフォーム、電話019-601-9068"
11,岩手,PAPA de GIGI(盛岡菜園店),トリミングペットサロン,https://www.papadegigi.com/,,公開あり: papadegigi@snow.ocn.ne.jp,あり,"盛岡市菜園1丁目1-4｜フッターmailto公開、/contactに業者向けフォーム(一般予約はLINE/電話)"
12,岩手,Dog Salon moimoi,ドッグサロン(トリミング専門),https://www.moimoidog.com/,,公開あり: contact@moimoidog.com,なし,"盛岡市三ツ割1丁目9-8｜フッターにメール公開、予約は電話(019-656-1332)誘導"
13,秋田,DogSalon CIEL(シエル),ドッグサロン(大型犬対応),https://cielsalon-dog.net/,,なし,あり,"秋田市新屋扇町9-27｜page08.aspxの予約フォーム(asp系予約システム)"
14,秋田,Woo Drops(ウードロップス),トリミング/一時預かり,https://woo-drops.com/,,なし,あり,"秋田市広面字長沼312｜トップに予約フォーム、別途/inquiry、LINE予約"
15,山形,ペット美容室ローディー,トリミング/ペット美容室,https://www.roadie-yamagata.com/,,なし,なし,"山形市南館5丁目2-20｜予約は電話優先(023-645-7082)、フォーム・メールなし"
16,福島,Dog salon NICO,小型中型犬専門トリミング,https://nico-dog.jp/,,なし,あり,"郡山市富田東6-43｜トップに予約フォーム、/contact、電話090-1069-0374"
17,福島,グルーミングサロンYUMI,犬専門トリミング,https://www.yumir4300.com/,,なし,あり,"郡山市開成6丁目151｜/contact/フォーム、電話024-938-4300"
18,福島,おうちDOGサロン リン,トリミング/ペットホテル/ドッグパーク,https://ouchidogsalon-rin.com/,,なし,なし,"郡山市大槻町字針生西7-6｜予約は電話(080-5224-3279)・LINE・Instagram誘導"
19,福島,Pomme d'Adam(ポムダダン),トリミング/ドッグフォトスタジオ,https://pomme-d-adam.com/,,公開あり: info@pomme-d-adam.com,なし,"福島市陣場町6-14｜ACCESSにメール公開、予約はLINE中心で入力フォームなし"
20,福島,ティンカーベル.JP,トリミング/ペットホテル/老犬ホーム,https://www.t-bell.jp/,,公開あり: info@t-bell.jp,あり,"会津若松市行仁町7-22｜トップにメール、/contactに名前/メール/電話/内容の入力フォーム"
21,東京,Dog Place Oasis,トリミングサロン,https://dogplace-oasis.jp/,,公開あり: info@dogplace-oasis.jp,なし,"立川市(西立川駅徒歩2分)｜媒体向けメール記載、/contact404、予約は電話042-526-3925"
22,東京,トリミングサロン 犬喜庵(けんきあん),トリミングサロン(移動・出張型),https://kenkian.com/,,なし,あり,"立川市柏町4-44-28｜/contact/に名前/電話/メール/住所/犬種/内容の入力フォーム"
23,神奈川,トリミングサロン ドッグチョイス,トリミングサロン,https://dog-choice.com/,,なし,あり,"茅ヶ崎市中島1206｜/contactに名前/電話/メール/内容の入力フォーム(公開メールなし)"
24,千葉,SNOOP,ペットサロン(トリミング・ホテル),https://petsalon-snoop.com/,,なし,あり,"船橋市習志野台1-11-4｜/contact/に氏名/メール/電話/住所/本文の入力フォーム"
25,千葉,犬の美容室 COWAN,トリミングサロン,https://www.cowan.jp/,,なし,あり,"松戸市大金平5-392-2｜WEB予約は外部システム(step.petlife.asia)、電話・LINEも"
26,埼玉,ラブドッグス(Love Dogs),トリミングサロン,https://lovedogs.co.jp/,,なし,なし,"さいたま市大宮区土手町3-101｜連絡はLINE・電話048-643-1500・Instagramのみ"
27,埼玉,ドッグサロン ふわふわ,ドッグサロン(トリミング・ホテル),https://www.dogfuwafuwa.com/,,なし,あり,"狭山市柏原827-1｜form.htmlに名前/フリガナ/住所/電話/内容の入力フォーム"
28,埼玉,ペットサロンハニー 川越本店,トリミングサロン,https://petsalon-honey.com/kawagoe/,,なし,あり,"川越市的場1-26-5｜ネット予約は外部システム(salon-de-one.com)、電話049-233-6996"
29,埼玉,ZUTTO DOG(ズットドッグ),犬の幼稚園/ホテル/トリミング,https://zuttodog.jp/,,なし,あり,"桶川・上尾・北本・伊奈町｜/contact/に名前/メール/住所/電話/犬種/内容の入力フォーム"
30,埼玉,深谷ドッグスクール育わん幼稚園,ドッグスクール/犬の幼稚園,https://www.fukaya-dogschool.com/,,なし,なし,"深谷市武蔵野2283-3｜/contactはフォーム無し、電話080-4797-8474とLINEのみ"
31,茨城,dog care salon CALME,トリミングサロン,https://calme-dog.com/,,なし,なし,"つくば市島名891-1｜予約・問い合わせはLINEと電話029-828-6868のみ"
32,茨城,Dog Salon ONE-U,トリミングサロン,https://one-u.dog/,,なし,確認不可,"つくば市みどりの2-17-4｜/contactはネット予約・LINE・電話案内のみで入力欄を確認できず(新規予約一時停止)"
33,茨城,トリミングサロン カリフォルニアドッグ,トリミングサロン,https://www.caldog.co.jp/,,公開あり: info@caldog.co.jp,なし,"つくば市学園の森3-29-6｜mailto公開、完全予約制でWEB予約は外部(bg3.power-k.jp)、入力フォームなし"
34,茨城,ファミリードッグ,トリミングサロン(ホテル併設),https://family-dog-mitosi.com/,,なし,なし,"水戸市石川1-3797-4｜相談・予約はLINEと電話029-252-0055のみ"
35,茨城,DogSalon FLOCHE,トリミングサロン,https://dog-floche.com/,,なし,なし,"水戸市平須町2053-5｜予約はLINEと電話029-291-6838のみ"
36,栃木,Dog One(ドッグワン),トリミングサロン,https://dog-one.jp/,,なし,なし,"宇都宮市鶴田町2185-18｜予約は電話028-307-3415優先、LINE・SNSのみ"
37,栃木,ドッグサロン fugafuga,トリミングサロン,https://fuga-fuga.com/,,なし,なし,"宇都宮市｜/contactは「お問い合わせはお電話で」、入力フォーム無し、電話028-611-1555"
38,栃木,DogSalon AZAZ,ドッグサロン,https://dogsalon-azaz.com/,,なし,あり,"宇都宮市下田原町｜予約フォームは外部システム(step.petlife.asia)で入力式"
39,栃木,Dog Style Growth,トリミングサロン,https://www.dog-style-growth.com/,,なし,なし,"宇都宮市御幸ケ原町143-17｜電話080-2287-0823、予約は外部(petlife.asia)とLINE"
40,群馬,トリミングサロンPuPuLa,トリミングサロン/ペットホテル,https://pupula.pink/,,なし,なし,"前橋市下佐鳥町｜電話(027-265-0602等)とLINE、外部予約(itsuaki.com)"
