No,エリア,店舗名,業種,公式サイトURL,電話(検索で判明分),メール,問い合わせフォーム,備考
1,北海道,犬の幼稚園HappyDog,ドッグ幼稚園/しつけ,https://kitanodog.com/,,要検証,要検証,札幌市清田区・中央区
2,北海道,ペットホテル オンリーワン,ペットホテル/トリミング,https://www.only-wan.net/,,要検証,要検証,札幌市白石区
3,青森,ドッグガーデン青森,ドッグ幼稚園/ホテル,https://doggarden.jp/,,要検証,要検証,青森市松原
4,青森,わんぷろ,ドッグ幼稚園/しつけ,https://wanpro-dog.jp/,,要検証,要検証,青森市本町
5,岩手,ドッグファームSHINYA,ドッグスクール/しつけ/ホテル,https://dogfarmshinya.com/,,要検証,要検証,盛岡市川目
6,岩手,Le Terrier(ル・テリエ),ペットホテル/トリミング,https://leterrier.jp/,,要検証,要検証,盛岡市黒石野
7,岩手,queue de chouchou,トリミング/ペットホテル,https://queue-de-chouchou.com/,,要検証,要検証,盛岡市
8,秋田,ロシナンテ,トリミング/ペットホテル,https://sp5b86d9.wixsite.com/rocinante,,要検証,要検証,秋田市金足追分
9,山形,ONE LUKE 山形駅店,ペットホテル/トリミング,https://oneluke.net/yamagataeki/,,要検証,要検証,山形市
10,山形,isdog 山形店,トリミング/ペットホテル,https://itsumo.dog/9623/,,要検証,要検証,山形市高堂
11,山形,すい〜とどっぐ,トリミング/ペットホテル/ドッグラン,https://www.sweetdog.info/,,要検証,要検証,山辺町
12,宮城,with DOG,トリミング/ドッグ幼稚園/ペットホテル,https://withdog-sendai.jp/,,要検証,要検証,仙台市青葉区旭ヶ丘
13,宮城,Bowmu,犬の保育園/ドッグホテル/トリミング,https://bowmu.dog/,,要検証,要検証,仙台市北六番丁
14,宮城,Good Dog,犬の保育園/トリミング/ドッグホテル,https://www.gooddoghoikuensalon.com/,,要検証,要検証,仙台市青葉区
15,宮城,I-Glow(アイグロー)仙台店,犬の保育園/トリミング/ホテル,https://iglow-sendai.com/,,要検証,要検証,仙台市青葉区
16,福島,2WanHappy,犬の保育園/ペットホテル/トリミング,https://2wanhappy.com/,,要検証,要検証,いわき市平中山
17,福島,one zu gate(ワンズゲート),トリミング/一時預かり/ドッグラン,https://onezugate.com/,,要検証,要検証,三春町(田村郡)
18,東京,ドッグライフプランナーズ,ドッグ幼稚園・保育園/ペットホテル,https://www.dog-lp.com/,,要検証,要検証,港区・品川区ほか都内7店舗
19,東京,犬のひみつきち,ドッグ幼稚園・保育園/ペットホテル,https://www.dogs-base.com/,,要検証,要検証,江東区森下
20,東京,犬の保育園 vowbee,ドッグ幼稚園・保育園,https://vowbee.jp/,,要検証,要検証,調布市仙川/武蔵野・三鷹
21,東京,dog studio LOVE WOOF!!,ペットホテル/ドッグ幼稚園/トリミング,https://lovewoof.co.jp/hotel.html,,要検証,要検証,新宿区・文京区・品川区・中央区
22,東京,犬のしつけ教室DOGLY,ドッグ幼稚園・保育園/ペットホテル,https://dogly.jp/,,要検証,要検証,台東区根岸(鶯谷)
23,東京,Parco del Cane,ドッグデイケア/犬の保育園,https://tripletta.com/,,要検証,要検証,世田谷区用賀
24,神奈川,DOGSTARS,犬の幼稚園/ドッグホテル/トリミング,https://dogstars.jp/,,要検証,要検証,横浜市中区・神奈川区
25,神奈川,enbleland 犬の幼稚園,ドッグ幼稚園・保育/トリミング,https://enble-land.com/,,要検証,要検証,横浜市中区
26,神奈川,犬の保育園 ほめほめホーム,犬の保育園/ドッグデイケア,https://homehomehome.jp.net/,,要検証,要検証,横浜市泉区
27,神奈川,ペットホテル＆サロン デルタ,ペットホテル/トリミング,https://www.pethoteldelta.com/,,要検証,要検証,川崎市幸区
28,千葉,犬の保育園Baby,ドッグ幼稚園・保育園/ペットホテル/トリミング,https://www.inuhoiku-baby.com/,,要検証,要検証,習志野市
29,千葉,ドギー・ワンダーランド,ドッグ幼稚園・保育園/ペットホテル,https://doggy-wl.com/,,要検証,要検証,千葉市中央区
30,埼玉,のんびーはうす,ペットホテル/犬の幼稚園/トリミング,https://www.nonby-house.com/,,要検証,要検証,さいたま市見沼区ほか多店舗
31,埼玉,犬の学校 Minakuru,ドッグ幼稚園・保育園/ペットホテル/トリミング,https://minakuru.in/,,要検証,要検証,さいたま市桜区・大宮区
32,茨城,ドッグスクールZERO,犬の保育園/トリミング,https://www.dogschool-zero.jp/,,要検証,要検証,つくば市
33,栃木,Dog House 陽だまり,犬の保育園/ペットホテル/一時預かり,https://www.hidamari.email/,,要検証,要検証,宇都宮市
34,群馬,Dog Salon LUDAN,トリミングサロン/ペットホテル,https://dogsalon-ludan.com/,,要検証,要検証,沼田市
35,静岡,Spottie's Spot(スポッティーズ・スポット),ドッグ幼稚園/お泊り保育/ホテル/しつけ,https://www.spotties-spot.jp/,,要検証,要検証,静岡市清水区横砂中町
36,静岡,HAMA&WAN(ハマ&ワン),ペットホテル/ドッグラン/トリミング,https://www.hama-wan.com/,,要検証,要検証,浜松市中央区富塚町
37,山梨,犬の保育園 Mof&Ful,犬の保育園/ドッグホテル/デイ預かり,https://mofandful-dognursery.com/,,要検証,要検証,甲府市下石田
38,長野,ペットシッターKEN.129,犬の幼稚園/ペットホテル/トリミング/しつけ,https://ken-129.com/,,要検証,要検証,長野市松代
39,新潟,犬幸村(けんこうむら),ドッグ幼稚園/トリミング/出張トレーニング,https://kenkohmura.jp/,,要検証,要検証,三条市・長岡市
40,新潟,わんダ～らん(わんわん保育園),わんわん保育園/ペットホテル/トリミング/ドッグラン,https://www.wonderrun.com/,,要検証,要検証,新潟市西区槇尾
41,愛知,Pooches(プーチーズ),犬のデイケア/ドッグホテル/しつけ/犬の学校,https://pooches.jp/,,要検証,要検証,名古屋市緑区・守山区
42,愛知,わんわん保育園あおぞら,犬の保育園/ホテル/トリミング/老犬介護,https://wanwan-aozora.com/,,要検証,要検証,名古屋市名東区
43,愛知,wanroom,犬の幼稚園/ペットホテル,https://wanroom-pet.com/,,要検証,要検証,名古屋市千種区千代が丘
44,岐阜,セカンドハウス,ペットホテル/トリミング/犬の幼稚園/ドッグスクール,https://s-house526.com/,,要検証,要検証,羽島市・関市
45,岐阜,ドッグスクールROOT,犬の幼稚園/出張トレーニング/24時間ドッグジム,https://www.dogschoolroot.com/,,要検証,要検証,各務原市
46,岐阜,ドッグケアハウス モプティシェリ,犬の幼稚園/トリミング/ホテル/一時預かり,https://www.monpetit-cheri.jp/,,要検証,要検証,岐阜市福光西
47,三重,Dog Answer(ドッグアンサー),ドッグスクール/犬の幼稚園/ペットホテル/トリミング,https://www.dogschool-tanaka.jp/,,要検証,要検証,四日市市小杉平町
48,富山,ワンズクラブ富山,犬の学校・保育園/トリミング/ホテル,https://wansclubtoyama-dogs.jimdofree.com/,,要検証,要検証,射水市三ケ(アルプラザ小杉内)
49,石川,いぬの保育園 ペロ(perro),犬の保育園/ドッグトレーニング,https://perro.jp/,,要検証,要検証,野々市市稲荷
50,石川,絆Labo(ラボ),犬のしつけ教室/ペットホテル/シャンプー,https://kizuna-labo.com/,,要検証,要検証,金沢市小坂町
51,福井,PARCOURIL(パルクリール),トリミング/ペットホテル/ショップ,https://parcourir.jp/,,要検証,要検証,福井市成和
52,大阪,DOG WOOF by popomeip,ドッグ幼稚園/トレーニング/トリミング/ホテル,https://popomeip.com/,,要検証,要検証,大阪府守口市
53,大阪,WanWanWan 犬の幼稚園,ドッグ幼稚園/お泊まり保育/トリミング,https://wanwanwan.dog/,,要検証,要検証,大阪市(浪速区・天王寺区・西区・北区)
54,大阪,ulu,ドッグ幼稚園/一時保育/ホテル/トリミング,https://ulu-petcare.com/,,要検証,要検証,大阪市浪速区幸町
55,京都,Perrito(ペリート),ドッグ幼稚園/トレーニング/ペットホテル/トリミング,https://www.petit3669.com/,,要検証,要検証,京都市伏見区石田大山町
56,京都,るぴこむ わんこのお宿・幼稚園,ペットホテル/ドッグ幼稚園,https://lupicom.com/,,要検証,要検証,京都市中京区(京町家)
57,京都,mum dog(マムドッグ),犬の保育園/ドッグトレーニング,https://mumdog-kyoto.com/,,要検証,要検証,京都市南区吉祥院
58,京都,DOGアイドル,ペット保育園/ペットホテル/トリミング,https://www.dogidol.net/,,要検証,要検証,京都市北区紫野
59,兵庫,RISPETTO(リスペット),ドッグ幼稚園/デイケア/ペットホテル/トリミング,https://rispetto-dog.com/,,要検証,要検証,西宮市(神戸市灘区に姉妹店)
60,兵庫,犬の幼稚園 mo-no(モーノ),ドッグスクール/ゲージフリーペットホテル,https://mo-no-inu.com/,,要検証,要検証,神戸市垂水区名谷町
61,奈良,郡山ドッグスクール,ドッグ幼稚園/ドッグホテル/ドッグスクール,https://koriyama-dogschool.com/,,要検証,要検証,大和郡山市
62,奈良,K'sドッグスクール 本校,ドッグスクール/ペットホテル/トリミング,https://ksdogschool.com/,,要検証,要検証,奈良市押熊町
63,滋賀,ドッグサロンナナ,トリミング/ペットホテル,https://dognana.jp/,,要検証,要検証,大津市
64,滋賀,ドッグサロンオズ,トリミング/ペットホテル/ペットシッター,https://dogsalon-oz.com/,,要検証,要検証,栗東市(守山市にも店舗)
65,和歌山,ツチヤドッグスクール,ドッグ幼稚園/一時預かり/ドッグスクール,https://www.eonet.ne.jp/~ttdog/,,要検証,要検証,和歌山市六十谷
66,鳥取,あおぞらドッグラン,ドッグ幼稚園/ペットホテル/トリミング,https://aozora-d.jp/,,要検証,要検証,鳥取市湖山町西4丁目
