No,エリア,店舗名,業種,公式サイトURL,電話(検索で判明分),メール,問い合わせフォーム,備考
1,北海道,犬の幼稚園HappyDog,ドッグ幼稚園/しつけ,https://kitanodog.com/,,公開あり: kitanodogschool@gmail.com,あり,"札幌市清田区・中央区｜/contactに入力フォーム、店舗共通メール公開"
2,北海道,ペットホテル オンリーワン,ペットホテル/トリミング,https://www.only-wan.net/,,なし,なし,"札幌市白石区｜メールフォーム休止中、電話(011-861-4805)のみ"
3,青森,ドッグガーデン青森,ドッグ幼稚園/ホテル,https://doggarden.jp/,,なし,確認不可,"青森市松原｜contact系ページ開けず未確認、電話・LINEは公開"
4,青森,わんぷろ,ドッグ幼稚園/しつけ,https://wanpro-dog.jp/,,公開あり: info@wanpro-dog.com,あり,"青森市本町｜フッターにmailto公開、/contact/に入力フォーム"
5,岩手,ドッグファームSHINYA,ドッグスクール/しつけ/ホテル,https://dogfarmshinya.com/,,なし,あり,"盛岡市川目｜メール非公開(電話019-654-3326)、/contact/に入力フォーム"
6,岩手,Le Terrier(ル・テリエ),ペットホテル/トリミング,https://leterrier.jp/,,なし,なし,"盛岡市黒石野｜メール・フォームなし、店頭/電話誘導のみ"
7,岩手,queue de chouchou,トリミング/ペットホテル,https://queue-de-chouchou.com/,,確認不可,確認不可,"盛岡市｜https/http・www有無いずれも503継続で開けず"
8,秋田,ロシナンテ,トリミング/ペットホテル,https://sp5b86d9.wixsite.com/rocinante,,なし,なし,"秋田市金足追分｜Wixサイト、電話(090-5594-4963)のみ"
9,山形,ONE LUKE 山形駅店,ペットホテル/トリミング,https://oneluke.net/yamagataeki/,,なし,あり,"山形市｜/contact/に入力フォーム、予約はlit.link外部"
10,山形,isdog 山形店,トリミング/ペットホテル,https://itsumo.dog/9623/,,なし,あり,"山形市高堂｜/contact/contact.phpに入力フォーム"
11,山形,すい〜とどっぐ,トリミング/ペットホテル/ドッグラン,https://www.sweetdog.info/,,公開あり: info@sweetdog.info,なし,"山辺町｜メール公開、予約は外部システム(petlife.asia)"
12,宮城,with DOG,トリミング/ドッグ幼稚園/ペットホテル,https://withdog-sendai.jp/,,なし,なし,"仙台市青葉区旭ヶ丘｜予約は電話/LINE/外部予約、入力フォームなし"
13,宮城,Bowmu,犬の保育園/ドッグホテル/トリミング,https://bowmu.dog/,,確認不可,確認不可,"仙台市北六番丁｜トップはヘッダのみ取得、/contact/が502で未確認"
14,宮城,Good Dog,犬の保育園/トリミング/ドッグホテル,https://www.gooddoghoikuensalon.com/,,なし,なし,"仙台市青葉区｜予約はLINE/電話、入力フォームなし"
