No,エリア,店舗名,業種,公式サイトURL,電話(検索で判明分),メール,問い合わせフォーム,備考
1,北海道,さっぽろ元町動物病院,動物病院/ホテル/トリミング,https://www.sapporomotomachi-ah.co.jp/hotel.html,011-786-1717,要検証,要検証,札幌市東区
2,北海道,わくわくペットランド,トリミング/ホテル,https://www.wakuwaku-petland.com/,011-865-8088,要検証,要検証,札幌市白石区
3,北海道,ペットハウステンテン,ショップ/トリミング/ホテル,https://www.dog-tenten.co.jp/,011-733-1212,要検証,要検証,札幌市/複数店
4,北海道,ペットサロン睦,トリミング/ホテル,http://www.petsalon-mutsumi.com/,,要検証,要検証,札幌市
5,北海道,旭ヶ丘ペットクラブ,トリミング/ホテル,https://www.apc-wanwan.com/,,要検証,要検証,札幌市中央区
6,北海道,ペットサロンamitie,トリミング/ホテル,https://www.amitie-maeda.com/,,要検証,要検証,札幌市
7,北海道,ラブワンコ,トリミング/ホテル,https://lovewanco.net/,,要検証,要検証,札幌市/4店舗
8,北海道,ペットサロンPeass,トリミング,https://www.dogsalonpeass.com/,,要検証,要検証,札幌市白石区
9,北海道,ドッグ・ラブ・クオ,トリミング/ホテル,https://doglovequa.jp/,,要検証,要検証,札幌市
10,宮城,Dog & Cat Salon LUPINE.,サロン/ホテル/保育園,https://lupine-nomine.com/,,要検証,要検証,仙台市宮城野区
11,宮城,ペットショップさまん,トリミング/ホテル/用品,https://www.pet-saman.com/,,要検証,要検証,仙台市青葉区
12,宮城,ペットサロン フレンドハウス,トリミング/ホテル/ショップ,https://www.ps-fh.com/,,要検証,要検証,仙台市青葉区
13,宮城,ワンダーランド,ホテル/美容室,https://wanderland-sendai.com/,,要検証,要検証,仙台市
14,宮城,Pet Station Lavie,トリミング/ホテル,https://www.petstationlavie.com/,,要検証,要検証,仙台市青葉区
15,宮城,ペットショップF,トリミング/ホテル,https://www.pet-shop-f.com/,,要検証,要検証,仙台市太白区長町南
16,宮城,PET SALON R,トリミング/ホテル,https://www.pet-salon-r.com/,,要検証,要検証,仙台市宮城野区/多賀城市
17,東京,ヌーノクラブ,ホテル/サロン,https://www.nunoclub.com/,,要検証,要検証,中野区
18,東京,ニッコロ,ホテル/トリミング,http://niccolo.jp/,,要検証,要検証,港区赤坂
19,東京,Toutou(トゥートゥー),サロン/ホテル,https://www.petsalon-toutou.com/,03-3829-5534,要検証,要検証,墨田区向島
20,東京,WITH(ウィズ),トリミング/ホテル,https://dog-with.co.jp/,,要検証,要検証,新宿・中野
21,東京,AHBASE,トリミング/ホテル/ドッグパーク,https://ah-base.com/,03-5809-7787,要検証,要検証,東京
22,東京,トリミング工房Shampoo,サロン/ホテル,https://trimming-shampoo.com/,03-3769-1126,要検証,要検証,港区芝/田町/品川
23,東京,Joli 神楽坂店,ホテル/トリミング,https://xn--joli-9o4csan6ll5nt234bdzzb3e4b.jp/,03-5579-2144,要検証,要検証,新宿区山吹町
24,神奈川,PET SALON EMICIA,トリミング/ホテル,https://www.petsalon-emicia.com/,,要検証,要検証,横浜市栄区
25,神奈川,PetSalon Leaf,トリミング/ホテル,https://www.petsalon-leaf.com/,,要検証,要検証,横浜市中区本牧
26,神奈川,PET CARE PLACE,ホテル/トリミング/介護,https://pet-cp.com/,,要検証,要検証,横浜市南区大岡
27,神奈川,おさんぽびより,トリミング/ホテル,https://www.osanpobiyori.jp/,,要検証,要検証,横浜市
28,神奈川,わんわん物語,トリミング/ホテル,https://yokohamapetsalon-wanwanstory.com/,,要検証,要検証,横浜市南区
29,神奈川,ATOLL(アトール),トリミング,https://www.pet-atoll.com/,,要検証,要検証,横浜市
30,千葉,ペットサロンピュアランド,トリミング/ホテル,https://www.pureland.biz/,,要検証,要検証,千葉市稲毛区
31,千葉,ペット美容室ダブル,トリミング,https://www.petbiyoshitsu-w.com/,,要検証,要検証,千葉市中央区
32,千葉,PET HOTEL&SALON JUYELL,ホテル/サロン,https://juyell.com/,,要検証,要検証,千葉市
33,千葉,トリミングサロン アラモード,トリミング/ホテル,https://www.ts-alamode.com/,,要検証,要検証,千葉/東京/埼玉に展開
34,埼玉,Lucu(ルチュ),トリミング/ホテル,https://lucu.jp/,,要検証,要検証,川口市/24時間常駐
35,静岡,ONE LUKE 静岡葵区店,トリミング/ホテル,https://oneluke.net/shizuokaaoi/,,要検証,要検証,静岡市葵区
36,静岡,いちごみるく,トリミング/ホテル,https://ichigomilk-salon.jp/,,要検証,要検証,静岡市
37,静岡,わんだふるわーるど,美容室/ホテル,https://www.wonderfulworld7688.com/,,要検証,要検証,静岡市
38,長野,ONE LUKE 長野店,トリミング/ホテル,https://oneluke.net/nagano/,,要検証,要検証,長野市
39,長野,ドッグリゾートクラブ,トリミング/しつけ/ホテル,https://www.dog-resortclub.com/,,要検証,要検証,長野市
40,長野,ドッグラバーズ,トリミング/ホテル/スタジオ,https://www.doglovers-nagano.com/,,要検証,要検証,長野市
41,長野,18 Wanya(ワンや),サロン/ホテル,https://wanya.pet/,,要検証,要検証,茅野市
42,新潟,La la lu(ララルー),サロン/ホテル,https://dogsalon-lalalu.com/,,要検証,要検証,長岡市
43,愛知,WON O WON,トリミング/ホテル,https://www.pet-won-o-won.com/,,要検証,要検証,名古屋市緑区
44,愛知,DOGCAT COCO,トリミング/ホテル,https://dogcatcoco.net/,,要検証,要検証,名古屋市昭和区/千種区/瑞穂区
45,愛知,ペットサロン シエンヌ,トリミング/ホテル,https://www.petsalon-chienne.com/,,要検証,要検証,名古屋市名東区
46,愛知,コネクト(connect),トリミング/ホテル,https://petsalon-connect.com/,,要検証,要検証,名古屋市南区内田橋
47,愛知,MOFUMOFU,トリミング/ホテル,https://mofumofu.dog/,,要検証,要検証,名古屋市中区上前津
48,愛知,Furufuru(フルフル),トリミング/ホテル,https://furu-furu.net/,,要検証,要検証,名古屋市/4店舗
49,愛知,ペットサロンジャスミン,トリミング,https://www.m-jasmine.com/,,要検証,要検証,名古屋市緑区
50,愛知,Étoile(エトワール),ホテル/トリミング,https://etoile-pet.com/,,要検証,要検証,名古屋市千種区
51,愛知,mimiペットサロン,サロン,https://mimi-petsalon.sakura.ne.jp/,,要検証,要検証,名古屋市天白区
52,愛知,ONE LUKE 名駅店,トリミング/ホテル,https://oneluke.net/nakamurakumeieki/,,要検証,要検証,名古屋市中村区
53,大阪,OPPペットクラブ24,ホテル,https://www.opp-petclub24.com/,06-6768-8817,要検証,要検証,大阪市中央区瓦屋町/24h
54,大阪,PetSalon&Hotel MaG,トリミング/ホテル,https://www.mag-20415.com/,,要検証,要検証,大阪市北区
55,大阪,すまいるペットケア,トリミング/ホテル,https://smilepet.p-kit.com/,072-238-2666,要検証,要検証,堺市堺区
56,大阪,ペットサロンCOCO,トリミング/ホテル,http://petsalon-coco.com/,080-5326-4007,要検証,要検証,大阪市城東区
57,大阪,ペットホテル・トリミングtriangle,ホテル/トリミング,https://petsitterhoteltriangle.amebaownd.com/,,要検証,要検証,大阪
58,大阪,Dog Salon CREA,トリミング/ホテル,https://www.dogsaloncrea.com/,06-4702-1188,要検証,要検証,大阪市住之江区
59,大阪,ONE LUKE 大阪中央区店,トリミング/ホテル,https://oneluke.net/osakachuo/,,要検証,要検証,大阪市中央区
60,大阪,PETSALON&HOTEL chere(シェール),サロン/ホテル,https://www.petsalon-chere.com/,,要検証,要検証,大阪市
61,京都,ペットトリミングサロンTOY,トリミング/ホテル,https://www.trimmingsalon-toy.com/,,要検証,要検証,京都市伏見区
62,京都,COCO(ココ),サロン/ホテル,https://coco-dog.com/,,要検証,要検証,京都市西京区
63,京都,ペットサロンくんくん,サロン/ホテル,https://pet-hoteltoinkyoto.com/pet-salon,,要検証,要検証,京都市/京都駅近く
