No,エリア,店舗名,業種,公式サイトURL,電話(検索で判明分),メール,問い合わせフォーム,備考
1,北海道,さっぽろ元町動物病院,動物病院/ホテル/トリミング,https://www.sapporomotomachi-ah.co.jp/hotel.html,011-786-1717,なし,なし,"札幌市東区｜検証: 電話のみ(011-786-1717)、フォーム・メール公開なし"
2,北海道,わくわくペットランド,トリミング/ホテル,https://www.wakuwaku-petland.com/,011-865-8088,確認不可,確認不可,"札幌市白石区｜検証: サイトが503でアクセス不可(www/非www・http/https全滅)"
3,北海道,ペットハウステンテン,ショップ/トリミング/ホテル,https://www.dog-tenten.co.jp/,011-733-1212,なし,あり,"札幌市/複数店｜検証: /contactに入力フォーム有(氏名/メール/電話/内容)、生体予約フォームも有"
4,北海道,ペットサロン睦,トリミング/ホテル,http://www.petsalon-mutsumi.com/,,確認不可,確認不可,"札幌市｜検証: サイトが503でアクセス不可(www/非www・http/https全滅)"
5,北海道,旭ヶ丘ペットクラブ,トリミング/ホテル,https://www.apc-wanwan.com/,,公開あり: apcwanwan@outlook.jp,なし,"札幌市中央区｜検証: mailtoでメール公開、対応は電話/LINE/メール、入力フォームは無し"
6,北海道,ペットサロンamitie,トリミング/ホテル,https://www.amitie-maeda.com/,,なし,あり,"札幌市｜検証: /contactに入力フォーム有(氏名/メール/電話/内容)、外部予約システムも有"
7,北海道,ラブワンコ,トリミング/ホテル,https://lovewanco.net/,,なし,なし,"札幌市/4店舗｜検証: 各店電話番号のみ、フォーム・メール公開なし"
8,北海道,ペットサロンPeass,トリミング,https://www.dogsalonpeass.com/,,なし,なし,"札幌市白石区｜検証: 電話のみ(011-799-4085)、Instagram有、フォーム無し"
9,北海道,ドッグ・ラブ・クオ,トリミング/ホテル,https://doglovequa.jp/,,なし,あり,"札幌市｜検証: /contact/に入力フォーム有(氏名/フリガナ/メール/電話/内容)、/reserve/予約ページも有"
10,宮城,Dog & Cat Salon LUPINE.,サロン/ホテル/保育園,https://lupine-nomine.com/,,なし,なし,"仙台市宮城野区｜検証: 連絡はLINE推奨、電話/LINE/Instagramのみ、フォーム無し"
