通し番号,元リスト,エリア,店舗名,業種,公式サイトURL,電話,メール公開,メールアドレス,問い合わせフォーム,備考
1,初回,北海道,さっぽろ元町動物病院,動物病院/ホテル/トリミング,https://www.sapporomotomachi-ah.co.jp/hotel.html,011-786-1717,×,,×,札幌市東区｜検証: 電話のみ(011-786-1717)、フォーム・メール公開なし
2,初回,北海道,わくわくペットランド,トリミング/ホテル,https://www.wakuwaku-petland.com/,011-865-8088,×,,×,札幌市白石区｜検証(再): トップ取得成功。メール公開なし、連絡はLINE公式・電話(011-865-8088)・来店のみ、入力フォーム無し
3,初回,北海道,ペットハウステンテン,ショップ/トリミング/ホテル,https://www.dog-tenten.co.jp/,011-733-1212,×,,○,札幌市/複数店｜検証: /contactに入力フォーム有(氏名/メール/電話/内容)、生体予約フォームも有
4,初回,北海道,ペットサロン睦,トリミング/ホテル,http://www.petsalon-mutsumi.com/,,不明,,不明,札幌市｜検証: サイトが503でアクセス不可(www/非www・http/https全滅)
5,初回,北海道,旭ヶ丘ペットクラブ,トリミング/ホテル,https://www.apc-wanwan.com/,,○,apcwanwan@outlook.jp,×,札幌市中央区｜検証: mailtoでメール公開、対応は電話/LINE/メール、入力フォームは無し
6,初回,北海道,ペットサロンamitie,トリミング/ホテル,https://www.amitie-maeda.com/,,×,,○,札幌市｜検証: /contactに入力フォーム有(氏名/メール/電話/内容)、外部予約システムも有
7,初回,北海道,ラブワンコ,トリミング/ホテル,https://lovewanco.net/,,×,,×,札幌市/4店舗｜検証: 各店電話番号のみ、フォーム・メール公開なし
8,初回,北海道,ペットサロンPeass,トリミング,https://www.dogsalonpeass.com/,,×,,×,札幌市白石区｜検証: 電話のみ(011-799-4085)、Instagram有、フォーム無し
9,初回,北海道,ドッグ・ラブ・クオ,トリミング/ホテル,https://doglovequa.jp/,,×,,○,札幌市｜検証: /contact/に入力フォーム有(氏名/フリガナ/メール/電話/内容)、/reserve/予約ページも有
10,初回,宮城,Dog & Cat Salon LUPINE.,サロン/ホテル/保育園,https://lupine-nomine.com/,,×,,×,仙台市宮城野区｜検証: 連絡はLINE推奨、電話/LINE/Instagramのみ、フォーム無し
11,初回,宮城,ペットショップさまん,トリミング/ホテル/用品,https://www.pet-saman.com/,,×,,○,仙台市青葉区｜検証: /form/index.htmlに入力フォーム有(氏名/メール/住所/電話/種別/内容)
12,初回,宮城,ペットサロン フレンドハウス,トリミング/ホテル/ショップ,https://www.ps-fh.com/,,×,,○,仙台市青葉区｜検証: contact.htmlに問い合わせ・予約フォーム有(氏名/メール/希望日時/ペット情報等)
13,初回,宮城,ワンダーランド,ホテル/美容室,https://wanderland-sendai.com/,,×,,○,仙台市｜検証: 電話022-778-4150、予約はLINE/外部メールフォーム(web-story.biz)へのリンク有
14,初回,宮城,Pet Station Lavie,トリミング/ホテル,https://www.petstationlavie.com/,,×,,×,仙台市青葉区｜検証: 電話022-221-8293のみ、予約はLINE、フォーム無し
15,初回,宮城,ペットショップF,トリミング/ホテル,https://www.pet-shop-f.com/,,×,,×,仙台市太白区長町南｜検証: 電話022-247-8852のみ(予約・問合せは電話)
16,初回,宮城,PET SALON R,トリミング/ホテル,https://www.pet-salon-r.com/,,×,,×,仙台市宮城野区/多賀城市｜検証: 電話022-368-6654のみ(予約制)
17,初回,東京,ヌーノクラブ,ホテル/サロン,https://www.nunoclub.com/,,○,pet@nunoclub.com,○,中野区｜検証: contact.htmlに入力フォーム有、メールも記載
18,初回,東京,ニッコロ,ホテル/トリミング,http://niccolo.jp/,,不明,,不明,港区赤坂｜検証: 全アクセスでHTTP 503(http/https・www有無とも)
19,初回,東京,Toutou(トゥートゥー),サロン/ホテル,https://www.petsalon-toutou.com/,03-3829-5534,×,,○,墨田区向島｜検証: /contactに入力フォーム有(氏名/メール/電話/内容)
20,初回,東京,WITH(ウィズ),トリミング/ホテル,https://dog-with.co.jp/,,×,,○,新宿・中野｜検証: contact.htmlが問合せ専用ページ(フォーム動的読込)、電話03-3350-1041
21,初回,東京,AHBASE,トリミング/ホテル/ドッグパーク,https://ah-base.com/,03-5809-7787,×,,○,東京｜検証: /contact/に入力フォーム有(氏名/メール/電話/種別/内容)
22,初回,東京,トリミング工房Shampoo,サロン/ホテル,https://trimming-shampoo.com/,03-3769-1126,×,,○,港区芝/田町/品川｜検証: /reservation/にトリミング・ホテル予約フォーム有
23,初回,東京,Joli 神楽坂店,ホテル/トリミング,https://xn--joli-9o4csan6ll5nt234bdzzb3e4b.jp/,03-5579-2144,○,info@pet-joli.com,○,新宿区山吹町｜検証: pet-joli.com/contact/にフォーム有、メールはプライバシー欄に記載
24,初回,神奈川,PET SALON EMICIA,トリミング/ホテル,https://www.petsalon-emicia.com/,,×,,○,横浜市栄区｜検証: /contactに入力フォーム有(氏名/メール/電話/内容)、電話045-568-8236
25,初回,神奈川,PetSalon Leaf,トリミング/ホテル,https://www.petsalon-leaf.com/,,×,,○,横浜市中区本牧｜検証: トップは403、非wwwで閲覧可。/contactにフォーム有、電話045-873-1693
26,初回,神奈川,PET CARE PLACE,ホテル/トリミング/介護,https://pet-cp.com/,,×,,○,横浜市南区大岡｜検証: /contactにフォーム有(店舗選択/ペット情報/氏名/メール/電話/内容)、LINEも
27,初回,神奈川,おさんぽびより,トリミング/ホテル,https://www.osanpobiyori.jp/,,×,,○,横浜市｜検証: /contactにフォーム有(氏名/住所/電話/メール/内容/希望日時)、電話045-947-0108
28,初回,神奈川,わんわん物語,トリミング/ホテル,https://yokohamapetsalon-wanwanstory.com/,,不明,,不明,横浜市南区｜検証: 全入口(www有無・http)で503のため確認不可
29,初回,神奈川,ATOLL(アトール),トリミング,https://www.pet-atoll.com/,,×,,○,横浜市｜検証(再): トップ・サブpage取得成功。メール記載なし。外部予約フォーム(step.petlife.asia サロン用/ホテル用)へのリンク有、「お電話やメールフォームよりお受けしています」と明記
30,初回,千葉,ペットサロンピュアランド,トリミング/ホテル,https://www.pureland.biz/,,×,,○,千葉市稲毛区｜検証: /contact.htmlにフォーム有(氏名/住所/電話/メール/犬情報/希望日時)、電話043-286-6828
31,初回,千葉,ペット美容室ダブル,トリミング,https://www.petbiyoshitsu-w.com/,,×,,○,千葉市中央区｜検証: /contactにフォーム有(氏名/メール/電話/内容)、電話070-5025-5882、LINE有
32,初回,千葉,PET HOTEL&SALON JUYELL,ホテル/サロン,https://juyell.com/,,×,,○,千葉市｜検証: /contact/にフォーム有(氏名/電話/住所/メール/犬種/内容)、電話043-307-5550
33,初回,千葉,トリミングサロン アラモード,トリミング/ホテル,https://www.ts-alamode.com/,,×,,○,千葉/東京/埼玉に展開｜検証: お問い合わせ/ご意見フォームへのリンク有(入力欄はJS描画)
34,初回,埼玉,Lucu(ルチュ),トリミング/ホテル,https://lucu.jp/,,×,,○,川口市/24時間常駐｜検証: /information/にフォーム有(氏名/メール/題名/本文)、予約はpetlife.asia外部、電話048-202-0690
35,初回,静岡,ONE LUKE 静岡葵区店,トリミング/ホテル,https://oneluke.net/shizuokaaoi/,,×,,○,静岡市葵区｜検証: /contact/にフォーム有(氏名/電話/メール/内容)、予約はlit.link外部、電話054-207-9697
36,初回,静岡,いちごみるく,トリミング/ホテル,https://ichigomilk-salon.jp/,,×,,×,静岡市｜検証: 電話のみ(054-284-0022/054-665-6295)。WEB予約は既存客限定の外部、新規は電話のみ
37,初回,静岡,わんだふるわーるど,美容室/ホテル,https://www.wonderfulworld7688.com/,,×,,×,静岡市｜検証: 電話のみ(054-284-7688)、/contactは404、フォーム無し
38,初回,長野,ONE LUKE 長野店,トリミング/ホテル,https://oneluke.net/nagano/,,×,,○,長野市｜検証: /nagano/contactにフォーム有(氏名/電話/メール/内容)、電話026-217-4438
39,初回,長野,ドッグリゾートクラブ,トリミング/しつけ/ホテル,https://www.dog-resortclub.com/,,×,,×,長野市｜検証(再): トップ・contact相当ページ取得成功。メール記載なし。「お問い合わせ」は入力欄でなく電話(026-214-0212)案内のみ、/contact等は404
40,初回,長野,ドッグラバーズ,トリミング/ホテル/スタジオ,https://www.doglovers-nagano.com/,,×,,×,長野市｜検証: 予約は電話のみ(026-285-9162)、問い合わせページ・フォーム無し
41,初回,長野,18 Wanya(ワンや),サロン/ホテル,https://wanya.pet/,,○,info@wanya.pet,×,茅野市｜検証: mailtoリンク有、入力フォームは無し、電話0266-55-7135
42,初回,新潟,La la lu(ララルー),サロン/ホテル,https://dogsalon-lalalu.com/,,×,,×,長岡市｜検証: LINEと電話のみ(0258-86-8478)、フォーム無し
43,初回,愛知,WON O WON,トリミング/ホテル,https://www.pet-won-o-won.com/,,不明,,不明,名古屋市緑区｜検証: www/非www/contact全て403で確認不可
44,初回,愛知,DOGCAT COCO,トリミング/ホテル,https://dogcatcoco.net/,,×,,○,名古屋市昭和区/千種区/瑞穂区｜検証: /contact/にフォーム有(氏名/メール/電話/メッセージ)、電話052-732-1239
45,初回,愛知,ペットサロン シエンヌ,トリミング/ホテル,https://www.petsalon-chienne.com/,,○,info@petsalon-chienne.com,○,名古屋市名東区｜検証: /contact/にフォーム有(氏名/メール/内容+CAPTCHA)、メールもテキスト公開、電話052-771-5866
46,初回,愛知,コネクト(connect),トリミング/ホテル,https://petsalon-connect.com/,,×,,×,名古屋市南区内田橋｜検証: LINE/電話予約のみ(052-627-5777)、入力フォーム無し
47,初回,愛知,MOFUMOFU,トリミング/ホテル,https://mofumofu.dog/,,×,,×,名古屋市中区上前津｜検証: 外部予約システム/LINEのみ(052-228-4210)、フォーム無し
48,初回,愛知,Furufuru(フルフル),トリミング/ホテル,https://furu-furu.net/,,×,,○,名古屋市/4店舗｜検証: /contact/にフォーム有(店舗選択/氏名/メール/電話/住所/内容)、電話052-721-7022他
49,初回,愛知,ペットサロンジャスミン,トリミング,https://www.m-jasmine.com/,,×,,○,名古屋市緑区｜検証: /inqfm/general/に入力フォーム有(氏名/メール/内容)、電話052-893-9135、オンライン予約も
50,初回,愛知,Étoile(エトワール),ホテル/トリミング,https://etoile-pet.com/,,×,,○,名古屋市千種区｜検証: page08.aspxに入力フォーム有(氏名/電話/メール/犬種/預け日等)、電話052-731-7676
51,初回,愛知,mimiペットサロン,サロン,https://mimi-petsalon.sakura.ne.jp/,,○,trimmingsalon.MIMI@gmail.com / info@mimi-petsalon.sakura.ne.jp,○,名古屋市天白区｜検証: contact.htmlにメール公開、お問い合わせ・ご予約フォームへのリンク有
52,初回,愛知,ONE LUKE 名駅店,トリミング/ホテル,https://oneluke.net/nakamurakumeieki/,,×,,○,名古屋市中村区｜検証: /contact/にフォーム有(氏名/電話/メール/内容)、電話052-433-1344、lit.link予約
53,初回,大阪,OPPペットクラブ24,ホテル,https://www.opp-petclub24.com/,06-6768-8817,×,,○,大阪市中央区瓦屋町/24h｜検証: /form.phpにお問い合わせフォーム有(電話/メール希望選択式)、トップは403で非www確認
54,初回,大阪,PetSalon&Hotel MaG,トリミング/ホテル,https://www.mag-20415.com/,,×,,○,大阪市北区｜検証: /contactに入力フォーム有(氏名/メール/電話/内容)、電話06-6485-5151、LINE有
55,初回,大阪,すまいるペットケア,トリミング/ホテル,https://smilepet.p-kit.com/,072-238-2666,○,smilepetcare311@zd6.so-net.ne.jp,×,堺市堺区｜検証: contactページにメール公開、入力フォームは無くメール送信案内、電話072-238-2666
56,初回,大阪,ペットサロンCOCO,トリミング/ホテル,http://petsalon-coco.com/,080-5326-4007,不明,,不明,大阪市城東区｜検証: http/https・www有無・/index.html全て503/404/403で確認不可
57,初回,大阪,ペットホテル・トリミングtriangle,ホテル/トリミング,https://petsitterhoteltriangle.amebaownd.com/,,○,papiroko.saya@icloud.com (検索情報),×,大阪｜検証(再): Ameba Ownd実ページは404で取得不可。外部店舗情報(検索)で「24時間メール受付」とメール掲載、問い合わせは電話090-3719-3677/Instagram中心でフォーム記載なし。※実ページ未確認のため検索情報
58,初回,大阪,Dog Salon CREA,トリミング/ホテル,https://www.dogsaloncrea.com/,06-4702-1188,×,,○,大阪市住之江区｜検証: /contactは404だが、トップ等に外部予約フォーム(step.petlife.asia)へのリンク有、電話06-4702-1188
59,初回,大阪,ONE LUKE 大阪中央区店,トリミング/ホテル,https://oneluke.net/osakachuo/,,×,,○,大阪市中央区｜検証: /contact/にフォーム有(氏名/電話/メール/内容)、lit.link予約有
