EMAIL,STORE,AREA,GENRE,URL
kitanodogschool@gmail.com,犬の幼稚園HappyDog,北海道,ドッグ幼稚園/しつけ,https://kitanodog.com/
petsitter.ken.129@gmail.com,ペットシッターKEN.129,長野,犬の幼稚園/ペットホテル/トリミング/しつけ,https://ken-129.com/
lupicom.wan.wan@gmail.com,るぴこむ わんこのお宿・幼稚園,京都,ペットホテル/ドッグ幼稚園,https://lupicom.com/
co.dogschool@gmail.com,犬・幼稚園 Smart One,香川,ドッグ幼稚園/ペットホテル,https://codogschool-pupguide.com/hotel/
info.mikka.doglife@gmail.com,MIKKAドッグライフ,香川,ペットホテル(1日1組),https://mikka-dog.com/dog-hotel/
smartdog0629@gmail.com,smart-dog,大阪,ドッグ幼稚園/しつけ,https://smart-dog.net/
yuka.crea0714@gmail.com,犬の保育園 ほめほめホーム,神奈川,犬の保育園/ドッグデイケア,https://homehomehome.jp.net/
pawkydog@yahoo.co.jp,ツチヤドッグスクール,和歌山,ドッグ幼稚園/一時預かり/ドッグスクール,https://www.eonet.ne.jp/~ttdog/
cielo.luce.2@icloud.com,長崎企画(犬訓練所),長崎,しつけ/ペットホテル/トリミング,https://www.nagasaki-dogkunren.com/
dogsalonbow@gmail.com,ドッグサロンバウ,山口,トリミングサロン,https://dogsalonbow.com/
