営業No,店舗名,メールアドレス,エリア,業種,公式サイトURL,flag,元の記載
1,ヌーノクラブ,pet@nunoclub.com,東京,ホテル/サロン,https://www.nunoclub.com/,,pet@nunoclub.com
2,Joli 神楽坂店,info@pet-joli.com,東京,ホテル/トリミング,https://xn--joli-9o4csan6ll5nt234bdzzb3e4b.jp/,,info@pet-joli.com
3,ペットサロン シエンヌ,info@petsalon-chienne.com,愛知,トリミング/ホテル,https://www.petsalon-chienne.com/,,info@petsalon-chienne.com
5,ペットサロンくんくん,kunkun@pet-hoteltoinkyoto.com,京都,サロン/ホテル,https://pet-hoteltoinkyoto.com/pet-salon,,kunkun@pet-hoteltoinkyoto.com
6,神戸ペットホテル フェリーチェ,hanako@hanakonet.com,兵庫,ホテル,https://kobe.felice-pet.jp/index2.html,,hanako@hanakonet.com
7,pet salon MINT,info@petsalon-mint.com,兵庫,トリミング/ホテル,https://petsalon-mint.com/,,info@petsalon-mint.com
8,犬の幼稚園HappyDog,kitanodogschool@gmail.com,北海道,ドッグ幼稚園/しつけ,https://kitanodog.com/,個人ドメイン(送信前に要判断),kitanodogschool@gmail.com
9,わんぷろ,info@wanpro-dog.com,青森,ドッグ幼稚園/しつけ,https://wanpro-dog.jp/,,info@wanpro-dog.com
10,one zu gate(ワンズゲート),onezugate0808@500-8107.com,福島,トリミング/一時預かり/ドッグラン,https://onezugate.com/,,onezugate0808@500-8107.com
11,犬の保育園 Mof&Ful,info@mofandful-dognursery.com,山梨,犬の保育園/ドッグホテル/デイ預かり,https://mofandful-dognursery.com/,,info@mofandful-dognursery.com
12,ペットシッターKEN.129,petsitter.ken.129@gmail.com,長野,犬の幼稚園/ペットホテル/トリミング/しつけ,https://ken-129.com/,個人ドメイン(送信前に要判断),petsitter.ken.129@gmail.com
13,犬幸村(けんこうむら),info@kenkohmura.jp,新潟,ドッグ幼稚園/トリミング/出張トレーニング,https://kenkohmura.jp/,,info@kenkohmura.jp
15,るぴこむ わんこのお宿・幼稚園,lupicom.wan.wan@gmail.com,京都,ペットホテル/ドッグ幼稚園,https://lupicom.com/,個人ドメイン(送信前に要判断),lupicom.wan.wan@gmail.com
16,DOGアイドル,hello@dogidol.net,京都,ペット保育園/ペットホテル/トリミング,https://www.dogidol.net/,,hello@dogidol.net
17,Pet hotel Laster hill,info@laster-hill.com,山口,ペットホテル,https://laster-hill.com/,,info@laster-hill.com
18,ペットステーション ジュエル,info@petcare-jewel.com,徳島,犬の保育園/ペットホテル/介護,https://petcare-jewel.com/,,info@petcare-jewel.com
19,犬・幼稚園 Smart One,co.dogschool@gmail.com,香川,ドッグ幼稚園/ペットホテル,https://codogschool-pupguide.com/hotel/,個人ドメイン(送信前に要判断),co.dogschool@gmail.com
20,MIKKAドッグライフ,info.mikka.doglife@gmail.com,香川,ペットホテル(1日1組),https://mikka-dog.com/dog-hotel/,個人ドメイン(送信前に要判断),info.mikka.doglife@gmail.com
21,SEIWASOHドッグスクール,seiwasoh0022@outlook.jp,高知,ドッグスクール/犬の保育園/ペットホテル,https://www.seiwasoh.com/,,seiwasoh0022@outlook.jp
22,にゃんこの手,toiawase@nyankonote.com,宮崎,ペットホテル(ケージレス),https://nyankonote.com/,,toiawase@nyankonote.com
23,PAPA de GIGI(盛岡菜園店),papadegigi@snow.ocn.ne.jp,岩手,トリミングペットサロン,https://www.papadegigi.com/,,papadegigi@snow.ocn.ne.jp
24,ティンカーベル.JP,info@t-bell.jp,福島,トリミング/ペットホテル/老犬ホーム,https://www.t-bell.jp/,,info@t-bell.jp
25,犬の美容室 チェリッシュ(CHERISH),cherish-dog@outlook.jp,富山,トリミング/ドッグサロン(ホテル併設),https://www.cherish-dog.com/,,cherish-dog@outlook.jp
26,smart-dog,smartdog0629@gmail.com,大阪,ドッグ幼稚園/しつけ,https://smart-dog.net/,個人ドメイン(送信前に要判断),smartdog0629@gmail.com
27,ペットの美容室 BiBi,reserve@pet-bibi.com,広島,ドッグサロン/トリミング,https://pet-bibi.com/,,reserve@pet-bibi.com
28,ドッグアンドシー,wanwan@dog-and-sea.com,高知,ドッグラン&トリミングサロン/ホテル,https://dog-and-sea.com/,,wanwan@dog-and-sea.com
29,旭ヶ丘ペットクラブ,apcwanwan@outlook.jp,北海道,トリミング/ホテル,https://www.apc-wanwan.com/,,apcwanwan@outlook.jp
30,18 Wanya(ワンや),info@wanya.pet,長野,サロン/ホテル,https://wanya.pet/,,info@wanya.pet
31,すまいるペットケア,smilepetcare311@zd6.so-net.ne.jp,大阪,トリミング/ホテル,https://smilepet.p-kit.com/,,smilepetcare311@zd6.so-net.ne.jp
33,ペットサロンタビー,tabby.14118@i.softbank.jp,熊本,トリミング/ホテル,https://www.petsalon-tabby.com/,,tabby.14118@i.softbank.jp
34,すい〜とどっぐ,info@sweetdog.info,山形,トリミング/ペットホテル/ドッグラン,https://www.sweetdog.info/,,info@sweetdog.info
36,犬の保育園 ほめほめホーム,yuka.crea0714@gmail.com,神奈川,犬の保育園/ドッグデイケア,https://homehomehome.jp.net/,個人ドメイン(送信前に要判断),yuka.crea0714@gmail.com
37,Pooches(プーチーズ),info@pooches.jp,愛知,犬のデイケア/ドッグホテル/しつけ/犬の学校,https://pooches.jp/,,info@pooches.jp
38,ツチヤドッグスクール,pawkydog@yahoo.co.jp,和歌山,ドッグ幼稚園/一時預かり/ドッグスクール,https://www.eonet.ne.jp/~ttdog/,個人ドメイン(送信前に要判断),pawkydog@yahoo.co.jp
39,長崎企画(犬訓練所),cielo.luce.2@icloud.com,長崎,しつけ/ペットホテル/トリミング,https://www.nagasaki-dogkunren.com/,個人ドメイン(送信前に要判断),cielo.luce.2@icloud.com
40,ONE'S COOL(わんずくーる),contact@onescool.com,大分,ドッグ保育園/デイケア/ホテル,https://www.onescool.com/,,contact@onescool.com
41,Dog Salon moimoi,contact@moimoidog.com,岩手,ドッグサロン(トリミング専門),https://www.moimoidog.com/,,contact@moimoidog.com
42,Pomme d'Adam(ポムダダン),info@pomme-d-adam.com,福島,トリミング/ドッグフォトスタジオ,https://pomme-d-adam.com/,,info@pomme-d-adam.com
43,Dog Place Oasis,info@dogplace-oasis.jp,東京,トリミングサロン,https://dogplace-oasis.jp/,,info@dogplace-oasis.jp
44,トリミングサロン カリフォルニアドッグ,info@caldog.co.jp,茨城,トリミングサロン,https://www.caldog.co.jp/,,info@caldog.co.jp
45,ドッグサロン・ベルーガ,minatominato@nifty.com,愛知,ドッグサロン(トリミング&犬の整体),https://dog-beluga.com/,,minatominato@nifty.com
46,犬のほいくえん Pee-Ka-Boo,info@pee-ka-boo.net,大阪,ドッグ保育園/預かり,https://www.pee-ka-boo.net/,,info@pee-ka-boo.net
47,ドッグサロンバウ,dogsalonbow@gmail.com,山口,トリミングサロン,https://dogsalonbow.com/,個人ドメイン(送信前に要判断),dogsalonbow@gmail.com
