営業No,店舗名,メールアドレス,エリア,業種,公式サイトURL,flag,元の記載
4,mimiペットサロン,trimmingsalon.MIMI@gmail.com,愛知,サロン,https://mimi-petsalon.sakura.ne.jp/,要確認(元欄に複数/注釈),trimmingsalon.MIMI@gmail.com / info@mimi-petsalon.sakura.ne.jp
14,Dog Answer(ドッグアンサー),,三重,ドッグスクール/犬の幼稚園/ペットホテル/トリミング,https://www.dogschool-tanaka.jp/,アドレス抽出不可,@dogschool-tanaka.jp ドメイン
32,ペットホテル・トリミングtriangle,papiroko.saya@icloud.com,大阪,ホテル/トリミング,https://petsitterhoteltriangle.amebaownd.com/,要確認(元欄に複数/注釈),papiroko.saya@icloud.com (検索情報)
35,dog studio LOVE WOOF!!,info@lovewoof.co.jp,東京,ペットホテル/ドッグ幼稚園/トリミング,https://lovewoof.co.jp/hotel.html,要確認(元欄に複数/注釈),info@lovewoof.co.jp 他
48,ペットハウステンテン,,北海道,ショップ/トリミング/ホテル,https://www.dog-tenten.co.jp/,メール無し(フォーム連絡のみ),
49,ペットサロンamitie,,北海道,トリミング/ホテル,https://www.amitie-maeda.com/,メール無し(フォーム連絡のみ),
50,ドッグ・ラブ・クオ,,北海道,トリミング/ホテル,https://doglovequa.jp/,メール無し(フォーム連絡のみ),
51,ペットショップさまん,,宮城,トリミング/ホテル/用品,https://www.pet-saman.com/,メール無し(フォーム連絡のみ),
52,ペットサロン フレンドハウス,,宮城,トリミング/ホテル/ショップ,https://www.ps-fh.com/,メール無し(フォーム連絡のみ),
53,ワンダーランド,,宮城,ホテル/美容室,https://wanderland-sendai.com/,メール無し(フォーム連絡のみ),
54,Toutou(トゥートゥー),,東京,サロン/ホテル,https://www.petsalon-toutou.com/,メール無し(フォーム連絡のみ),
55,WITH(ウィズ),,東京,トリミング/ホテル,https://dog-with.co.jp/,メール無し(フォーム連絡のみ),
56,AHBASE,,東京,トリミング/ホテル/ドッグパーク,https://ah-base.com/,メール無し(フォーム連絡のみ),
57,トリミング工房Shampoo,,東京,サロン/ホテル,https://trimming-shampoo.com/,メール無し(フォーム連絡のみ),
58,PET SALON EMICIA,,神奈川,トリミング/ホテル,https://www.petsalon-emicia.com/,メール無し(フォーム連絡のみ),
59,PetSalon Leaf,,神奈川,トリミング/ホテル,https://www.petsalon-leaf.com/,メール無し(フォーム連絡のみ),
60,PET CARE PLACE,,神奈川,ホテル/トリミング/介護,https://pet-cp.com/,メール無し(フォーム連絡のみ),
61,おさんぽびより,,神奈川,トリミング/ホテル,https://www.osanpobiyori.jp/,メール無し(フォーム連絡のみ),
62,ATOLL(アトール),,神奈川,トリミング,https://www.pet-atoll.com/,メール無し(フォーム連絡のみ),
63,ペットサロンピュアランド,,千葉,トリミング/ホテル,https://www.pureland.biz/,メール無し(フォーム連絡のみ),
64,ペット美容室ダブル,,千葉,トリミング,https://www.petbiyoshitsu-w.com/,メール無し(フォーム連絡のみ),
65,PET HOTEL&SALON JUYELL,,千葉,ホテル/サロン,https://juyell.com/,メール無し(フォーム連絡のみ),
66,トリミングサロン アラモード,,千葉,トリミング/ホテル,https://www.ts-alamode.com/,メール無し(フォーム連絡のみ),
67,Lucu(ルチュ),,埼玉,トリミング/ホテル,https://lucu.jp/,メール無し(フォーム連絡のみ),
